,Month Ending,Month Ending,Month Ending,Month Ending,Month Ending,Month Ending,Month Ending,Month Ending,Month Ending,Month Ending,Month Ending,Month Ending,01/01/2024 Through
,10/31/2023,11/30/2023,12/31/2023,01/31/2024,02/29/2024,03/31/2024,04/30/2024,05/31/2024,06/30/2024,07/31/2024,08/31/2024,09/30/2024,09/30/2024
,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual,Actual
Census,,,,,,,,,,,,,
Census,1981,1942,2159,2582,2477,2566,2443,2504,2457,2591,2486,2395,22501
Total Census,1981,1942,2159,2582,2477,2566,2443,2504,2457,2591,2486,2395,22501
